participant_id,stim_id,video_id,belief,focus
13,1,11946387_3840_2160_30fps.mp4,Human Generated,3.0
13,2,4171487-uhd_3840_2160_30fps.mp4,AI Generated,2.0
13,3,18840567-hd_1920_1080_30fps.mp4,Human Generated,1.0
13,4,5768645-uhd_3840_2160_25fps.mp4,AI Generated,2.0
14,1,11946387_3840_2160_30fps.mp4,Human Generated,4.0
14,2,5768645-uhd_3840_2160_25fps.mp4,AI Generated,4.0
14,3,4171487-uhd_3840_2160_30fps.mp4,AI Generated,3.0
14,4,18840567-hd_1920_1080_30fps.mp4,Human Generated,3.0
15,1,11946387_3840_2160_30fps.mp4,Human Generated,5.0
15,2,5768645-uhd_3840_2160_25fps.mp4,AI Generated,5.0
15,3,18840567-hd_1920_1080_30fps.mp4,Human Generated,4.0
15,4,4171487-uhd_3840_2160_30fps.mp4,AI Generated,4.0
16,1,11946387_3840_2160_30fps.mp4,Human Generated,3.0
16,2,18840567-hd_1920_1080_30fps.mp4,Human Generated,2.0
16,3,4171487-uhd_3840_2160_30fps.mp4,AI Generated,4.0
16,4,5768645-uhd_3840_2160_25fps.mp4,AI Generated,3.0
17,1,11946387_3840_2160_30fps.mp4,Human Generated,4.0
17,2,18840567-hd_1920_1080_30fps.mp4,Human Generated,4.0
17,3,5768645-uhd_3840_2160_25fps.mp4,AI Generated,3.0
17,4,4171487-uhd_3840_2160_30fps.mp4,AI Generated,3.0
18,1,18840567-hd_1920_1080_30fps.mp4,Human Generated,4.0
18,2,4171487-uhd_3840_2160_30fps.mp4,AI Generated,3.0
18,3,5768645-uhd_3840_2160_25fps.mp4,AI Generated,4.0
18,4,11946387_3840_2160_30fps.mp4,Human Generated,5.0
19,1,18840567-hd_1920_1080_30fps.mp4,Human Generated,4.0
19,2,4171487-uhd_3840_2160_30fps.mp4,AI Generated,3.0
19,3,11946387_3840_2160_30fps.mp4,Human Generated,3.0
19,4,5768645-uhd_3840_2160_25fps.mp4,AI Generated,2.0
20,1,18840567-hd_1920_1080_30fps.mp4,Human Generated,5.0
20,2,5768645-uhd_3840_2160_25fps.mp4,AI Generated,3.0
20,3,4171487-uhd_3840_2160_30fps.mp4,AI Generated,4.0
20,4,11946387_3840_2160_30fps.mp4,Human Generated,4.0
21,1,18840567-hd_1920_1080_30fps.mp4,Human Generated,4.0
21,2,5768645-uhd_3840_2160_25fps.mp4,AI Generated,4.0
21,3,11946387_3840_2160_30fps.mp4,Human Generated,5.0
21,4,4171487-uhd_3840_2160_30fps.mp4,AI Generated,4.0
22,1,18840567-hd_1920_1080_30fps.mp4,Human Generated,3.0
22,2,11946387_3840_2160_30fps.mp4,Human Generated,4.0
22,3,4171487-uhd_3840_2160_30fps.mp4,AI Generated,3.0
22,4,5768645-uhd_3840_2160_25fps.mp4,AI Generated,2.0
23,1,18840567-hd_1920_1080_30fps.mp4,Human Generated,5.0
23,2,11946387_3840_2160_30fps.mp4,Human Generated,5.0
23,3,5768645-uhd_3840_2160_25fps.mp4,AI Generated,4.0
23,4,4171487-uhd_3840_2160_30fps.mp4,AI Generated,3.0
